==23589== NVPROF is profiling process 23589, command: ./bin/fargoGPU in/hd100.par
==23589== Profiling application: ./bin/fargoGPU in/hd100.par
==23589== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
352.11ms  809.65us          (128 128 1)       (16 16 1)        21        0B        0B         -           -  Quadro M4000 (0         1         7  ComputeSoundSpeedKernel(float*, float*, float*, float*, int, int, int, float, float, float, float, float, float, float, float, float) [495]
352.95ms  864.88us              (8 1 1)       (256 1 1)        15        0B        0B         -           -  Quadro M4000 (0         1         7  ConditionCFLKernel1D(float*, float*, float*, int, int, float*, float*) [505]
353.84ms  98.654us                    -               -         -         -         -  8.0000MB  79.191GB/s  Quadro M4000 (0         1         7  [CUDA memset]
353.85ms     586ns                    -               -         -         -         -  4.0000KB  6.5097GB/s  Quadro M4000 (0         1         7  [CUDA memset]
353.85ms     447ns                    -               -         -         -         -        4B  8.5340MB/s  Quadro M4000 (0         1         7  [CUDA memset]
353.97ms  579.06us          (128 128 1)       (16 16 1)        23        0B        0B         -           -  Quadro M4000 (0         1         7  ConditionCFLKernel2D1(float*, float*, float*, int, int, float*, float*, float*, int, float*, float*, float*, float*) [524]
354.57ms  896.05us              (8 1 1)       (256 1 1)        22        0B        0B         -           -  Quadro M4000 (0         1         7  ConditionCFLKernel2D2(float*, float*, float*, float*, float*, int*, int, int, float) [536]
355.49ms  3.2320us                    -               -         -         -         -  4.0000KB  1.1803GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
355.51ms  3.0080us                    -               -         -         -         -  4.0000KB  1.2682GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
355.56ms  98.686us                    -               -         -         -         -  8.0000MB  79.165GB/s  Quadro M4000 (0         1         7  [CUDA memset]
355.66ms  97.759us                    -               -         -         -         -  8.0000MB  79.916GB/s  Quadro M4000 (0         1         7  [CUDA memset]
355.76ms  97.758us                    -               -         -         -         -  8.0000MB  79.917GB/s  Quadro M4000 (0         1         7  [CUDA memset]
355.86ms  97.727us                    -               -         -         -         -  8.0000MB  79.942GB/s  Quadro M4000 (0         1         7  [CUDA memset]
355.96ms  1.1880ms          (128 128 1)       (16 16 1)        27        0B        0B         -           -  Quadro M4000 (0         1         7  ComputeForceKernel(float*, float*, float*, float*, float, float, float, int, int, float, float*, float, float*, float*, float*, float*, int, float) [563]
357.20ms     638ns                    -               -         -         -         -  4.0000KB  5.9791GB/s  Quadro M4000 (0         1         7  [CUDA memset]
357.22ms  65.503us           (1024 1 1)       (256 1 1)        10        0B  1.0000KB         -           -  Quadro M4000 (0         1         7  void DeviceReduceKernel<bool=0>(float*, float*, unsigned int) [571]
357.31ms  2.9440us                    -               -         -         -         -  4.0000KB  1.2958GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
357.36ms     581ns                    -               -         -         -         -  4.0000KB  6.5657GB/s  Quadro M4000 (0         1         7  [CUDA memset]
357.38ms  63.423us           (1024 1 1)       (256 1 1)        10        0B  1.0000KB         -           -  Quadro M4000 (0         1         7  void DeviceReduceKernel<bool=0>(float*, float*, unsigned int) [581]
357.46ms  2.8800us                    -               -         -         -         -  4.0000KB  1.3245GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
357.49ms     727ns                    -               -         -         -         -  4.0000KB  5.2472GB/s  Quadro M4000 (0         1         7  [CUDA memset]
357.51ms  62.783us           (1024 1 1)       (256 1 1)        10        0B  1.0000KB         -           -  Quadro M4000 (0         1         7  void DeviceReduceKernel<bool=0>(float*, float*, unsigned int) [591]
357.60ms  2.8800us                    -               -         -         -         -  4.0000KB  1.3245GB/s  Quadro M4000 (0         1         7  [CUDA memcpy DtoH]
357.63ms     657ns                    -               -         -         -         -  4.0000KB  5.8062GB/s  Quadro M4000 (0         1         7  [CUDA memset]
357.65ms  62.399us           (1024 1 1)       (256 1 1)        10        0B  1.0000KB         -           -  Quadro M4000 (0         1         7  void DeviceReduceKernel<bool=0>(float*, float*, unsigned int) [601]
